[1/5] Simulating event (seed=1)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization; approximant=IMRPhenomXAS, prior_class=IntrinsicAlignedSpinIASPrior)...
Searching incoherent solution for GW1
Set intrinsic parameters, lnL = 21.844041792104274
Set time, lnL(L) = 14.406503253770035
Set sky location, lnL = 17.434110113046188
Set phase and distance, lnL = 17.434110113046188
Set mchirp_range = (np.float64(9.615868829851735), np.float64(97.08200823500712))
      reference-waveform fit SNR estimate: nan (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Computing | 7      | 1        | 8        | 9900     | 0.0179 | 4556  | -8.47    
Sampling  | 7      | 1        | 8        | 10000    | 0.0173 | 4557  | -8.47    
Computing | 7      | 1        | 8        | 10000    | 0.0173 | 4557  | -8.47    
Sampling  | 7      | 1        | 8        | 10100    | 0.0166 | 4556  | -8.47    
Computing | 7      | 1        | 8        | 10100    | 0.0166 | 4556  | -8.47    
Sampling  | 7      | 1        | 8        | 10200    | 0.0162 | 4559  | -8.47    
Computing | 7      | 1        | 8        | 10200    | 0.0162 | 4559  | -8.47    
Sampling  | 7      | 1        | 8        | 10300    | 0.0156 | 4560  | -8.47    
Computing | 7      | 1        | 8        | 10300    | 0.0156 | 4560  | -8.47    
Sampling  | 7      | 1        | 8        | 10400    | 0.0150 | 4558  | -8.47    
Computing | 7      | 1        | 8        | 10400    | 0.0150 | 4558  | -8.47    
Sampling  | 7      | 1        | 8        | 10500    | 0.0145 | 4558  | -8.47    
Computing | 7      | 1        | 8        | 10500    | 0.0145 | 4558  | -8.47    
Sampling  | 7      | 1        | 8        | 10600    | 0.0140 | 4557  | -8.47    
Computing | 7      | 1        | 8        | 10600    | 0.0140 | 4557  | -8.47    
Sampling  | 7      | 1        | 8        | 10700    | 0.0135 | 4557  | -8.47    
Computing | 7      | 1        | 8        | 10700    | 0.0135 | 4557  | -8.47    
Sampling  | 7      | 1        | 8        | 10800    | 0.0132 | 4558  | -8.47    
Computing | 7      | 1        | 8        | 10800    | 0.0132 | 4558  | -8.47    
Sampling  | 7      | 1        | 8        | 10900    | 0.0127 | 4557  | -8.47    
Computing | 7      | 1        | 8        | 10900    | 0.0127 | 4557  | -8.47    
Sampling  | 7      | 1        | 8        | 11000    | 0.0124 | 4558  | -8.47    
Computing | 7      | 1        | 8        | 11000    | 0.0124 | 4558  | -8.47    
Sampling  | 7      | 1        | 8        | 11100    | 0.0121 | 4557  | -8.47    
Computing | 7      | 1        | 8        | 11100    | 0.0121 | 4557  | -8.47    
Bounding  | 7      | 1        | 8        | 11200    | 0.0118 | 4557  | -8.47    
Sampling  | 8      | 1        | 8        | 11200    | 0.0152 | 4407  | -8.49    
Computing | 8      | 1        | 8        | 11200    | 0.0152 | 4407  | -8.49    
Sampling  | 8      | 1        | 8        | 11300    | 0.0113 | 4557  | -8.47    
Computing | 8      | 1        | 8        | 11300    | 0.0113 | 4557  | -8.47    
Sampling  | 8      | 1        | 8        | 11400    | 0.0108 | 4557  | -8.47    
Computing | 8      | 1        | 8        | 11400    | 0.0108 | 4557  | -8.47    
Sampling  | 8      | 1        | 8        | 11500    | 0.0103 | 4556  | -8.47    
Computing | 8      | 1        | 8        | 11500    | 0.0103 | 4556  | -8.47    
Finished  | 8      | 1        | 8        | 11600    | N/A    | 4556  | -8.47    
      sampling wall clock: 300.1 s (rundir=pe_runs/IntrinsicAlignedSpinIASPrior/GW1/run_0)
[5/5] Loading samples and computing summary statistics...

=== Parameter estimation (aligned-spin): results ===
approximant = IMRPhenomXAS, prior_class = IntrinsicAlignedSpinIASPrior
mchirp_guess = 21.23844134253563
reference-waveform fit SNR = nan

par_dic_0 (reference waveform):
  d_luminosity = 1781.4968655330856
  dec = 0.03834196130880761
  f_ref = 100.0
  iota = 1.0
  l1 = 0.0
  l2 = 0.0
  m1 = 71.96114952814354
  m2 = 13.37756159751556
  phi_ref = 0.2781270452267593
  psi = 0.0
  ra = 4.222808011416021
  s1x_n = 0.0
  s1y_n = 0.0
  s1z = 0.749057539136953
  s2x_n = 0.0
  s2y_n = 0.0
  s2z = 0.749057539136953
  t_geocenter = 1.548357092114151

posterior medians (+/- Monte-Carlo standard error of the median):
  m1 = 165.588 +/- 2.27
  m2 = 32.5835 +/- 0.39
  s1z = -0.0119212 +/- 0.012
  s2z = -0.0293172 +/- 0.0113
  d_luminosity = 12202.1 +/- 48.5
  ra = 3.04283 +/- 0.0332
  dec = 0.00868467 +/- 0.0128
  phi_ref = 3.18047 +/- 0.0337
  psi = 1.57563 +/- 0.0167
  iota = 1.58775 +/- 0.0118
  t_geocenter = 1.47051 +/- 0.00207
  lnl = 0.351492 +/- 0.032

log evidence: lnZ = -8.4685 +/- 0.0148 (n_eff_nautilus = 4556.2)
n_samples = 11600, n_effective = 4556.2

sampling wall clock: 300.1 s
total wall clock:    340.1 s

Wrote results to runs/cli_run/cli_results_seed1.json
/opt/conda/envs/pe/lib/python3.12/site-packages/cogwheel/likelihood/reference_waveform_finder.py:546: UserWarning: Reached maximum `mchirp_range` expansions.
  warnings.warn('Reached maximum `mchirp_range` expansions.')
/workspaces/gw-day3-pe/pitp-pe-exercises/2-parameter_estimation/pe.py:170: RuntimeWarning: invalid value encountered in sqrt
  return float(np.sqrt(2 * lnl_0))
