[1/5] Simulating event (seed=0)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization)...
Searching incoherent solution for GW0
Set intrinsic parameters, lnL = 207.4750145548004
Set time, lnL(H) = 118.07731869931102
Set sky location, lnL = 194.35292957472166
Set phase and distance, lnL = 194.35292957472166
Set mchirp_range = (np.float64(19.789622701763705), np.float64(117.35646182836352))
      reference-waveform fit SNR estimate: 18.67 (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 9      | 1        | 4        | 10300    | 1.0000 | 3     | +157.81  
Computing | 9      | 1        | 4        | 10300    | 1.0000 | 3     | +157.81  
Sampling  | 9      | 1        | 4        | 10400    | 1.0000 | 3     | +157.74  
Computing | 9      | 1        | 4        | 10400    | 1.0000 | 3     | +157.74  
Sampling  | 9      | 1        | 4        | 10500    | 1.0000 | 3     | +157.66  
Computing | 9      | 1        | 4        | 10500    | 1.0000 | 3     | +157.66  
Sampling  | 9      | 1        | 4        | 10600    | 1.0000 | 3     | +157.59  
Computing | 9      | 1        | 4        | 10600    | 1.0000 | 3     | +157.59  
Sampling  | 9      | 1        | 4        | 10700    | 1.0000 | 3     | +157.53  
Computing | 9      | 1        | 4        | 10700    | 1.0000 | 3     | +157.53  
Sampling  | 9      | 1        | 4        | 10800    | 1.0000 | 3     | +157.52  
Computing | 9      | 1        | 4        | 10800    | 1.0000 | 3     | +157.52  
Sampling  | 9      | 1        | 4        | 10900    | 1.0000 | 3     | +157.46  
Computing | 9      | 1        | 4        | 10900    | 1.0000 | 3     | +157.46  
Sampling  | 9      | 1        | 4        | 11000    | 1.0000 | 4     | +157.50  
Computing | 9      | 1        | 4        | 11000    | 1.0000 | 4     | +157.50  
Sampling  | 9      | 1        | 4        | 11100    | 1.0000 | 4     | +157.44  
Computing | 9      | 1        | 4        | 11100    | 1.0000 | 4     | +157.44  
Sampling  | 9      | 1        | 4        | 11200    | 1.0000 | 4     | +157.39  
Computing | 9      | 1        | 4        | 11200    | 1.0000 | 4     | +157.39  
Sampling  | 9      | 1        | 4        | 11300    | 1.0000 | 4     | +157.34  
Computing | 9      | 1        | 4        | 11300    | 1.0000 | 4     | +157.34  
Bounding  | 9      | 1        | 4        | 11400    | 1.0000 | 4     | +157.31  
Sampling  | 10     | 1        | 4        | 11400    | 1.0000 | 41    | +79.78   
Computing | 10     | 1        | 4        | 11400    | 1.0000 | 41    | +79.78   
Sampling  | 10     | 1        | 4        | 11500    | 1.0000 | 4     | +157.19  
Computing | 10     | 1        | 4        | 11500    | 1.0000 | 4     | +157.19  
Sampling  | 10     | 1        | 4        | 11600    | 1.0000 | 5     | +157.42  
Computing | 10     | 1        | 4        | 11600    | 1.0000 | 5     | +157.42  
Sampling  | 10     | 1        | 4        | 11700    | 1.0000 | 5     | +157.34  
Computing | 10     | 1        | 4        | 11700    | 1.0000 | 5     | +157.34  
Sampling  | 10     | 1        | 4        | 11800    | 1.0000 | 5     | +157.29  
Computing | 10     | 1        | 4        | 11800    | 1.0000 | 5     | +157.29  
Sampling  | 10     | 1        | 4        | 11900    | 1.0000 | 5     | +157.23  
Computing | 10     | 1        | 4        | 11900    | 1.0000 | 5     | +157.23  
Sampling  | 10     | 1        | 4        | 12000    | 1.0000 | 5     | +157.16  
Computing | 10     | 1        | 4        | 12000    | 1.0000 | 5     | +157.16  
Sampling  | 10     | 1        | 4        | 12100    | 1.0000 | 5     | +157.12  
Computing | 10     | 1        | 4        | 12100    | 1.0000 | 5     | +157.12  
Sampling  | 10     | 1        | 4        | 12200    | 1.0000 | 6     | +157.27  
Computing | 10     | 1        | 4        | 12200    | 1.0000 | 6     | +157.27  
Sampling  | 10     | 1        | 4        | 12300    | 1.0000 | 6     | +157.22  
Computing | 10     | 1        | 4        | 12300    | 1.0000 | 6     | +157.22  
Sampling  | 10     | 1        | 4        | 12400    | 1.0000 | 7     | +157.19  
Computing | 10     | 1        | 4        | 12400    | 1.0000 | 7     | +157.19  
Bounding  | 10     | 1        | 4        | 12500    | 1.0000 | 7     | +157.16  
Sampling  | 11     | 1        | 4        | 12500    | 1.0000 | 6     | +96.63   
Computing | 11     | 1        | 4        | 12500    | 1.0000 | 6     | +96.63   
Sampling  | 11     | 1        | 4        | 12600    | 1.0000 | 7     | +157.04  
Computing | 11     | 1        | 4        | 12600    | 1.0000 | 7     | +157.04  
Sampling  | 11     | 1        | 4        | 12700    | 1.0000 | 7     | +156.96  
Computing | 11     | 1        | 4        | 12700    | 1.0000 | 7     | +156.96  
Sampling  | 11     | 1        | 4        | 12800    | 1.0000 | 8     | +156.92  
Computing | 11     | 1        | 4        | 12800    | 1.0000 | 8     | +156.92  
Sampling  | 11     | 1        | 4        | 12900    | 1.0000 | 8     | +156.87  
Computing | 11     | 1        | 4        | 12900    | 1.0000 | 8     | +156.87  
Sampling  | 11     | 1        | 4        | 13000    | 1.0000 | 8     | +156.84  
Computing | 11     | 1        | 4        | 13000    | 1.0000 | 8     | +156.84  
Sampling  | 11     | 1        | 4        | 13100    | 1.0000 | 8     | +156.79  
Computing | 11     | 1        | 4        | 13100    | 1.0000 | 8     | +156.79  
